Clustering_Algorithm,N_Clusters,Dataset,Metric,Value,Data_Perspective
EM,5,Cars,log-likelihood,23.85746781641965,RF
EM,10,Cars,log-likelihood,33.863627971569606,RF
EM,15,Cars,log-likelihood,39.236218344571974,RF
EM,20,Cars,log-likelihood,44.04340707877689,RF
EM,25,Cars,log-likelihood,46.17999270065712,RF
EM,30,Cars,log-likelihood,48.47254665244504,RF
EM,35,Cars,log-likelihood,50.247996648194245,RF
EM,40,Cars,log-likelihood,52.7896722602242,RF
GMM,2,Cars,Accuracy,0.7002314814814815,RF
Kmeans,2,Cars,Accuracy,0.7002314814814815,RF
GMM,5,Cars,Accuracy,0.7002314814814815,RF
Kmeans,5,Cars,Accuracy,0.7002314814814815,RF
GMM,10,Cars,Accuracy,0.7002314814814815,RF
Kmeans,10,Cars,Accuracy,0.7002314814814815,RF
GMM,15,Cars,Accuracy,0.7042824074074074,RF
Kmeans,15,Cars,Accuracy,0.7083333333333334,RF
GMM,20,Cars,Accuracy,0.7019675925925926,RF
Kmeans,20,Cars,Accuracy,0.7002314814814815,RF
GMM,25,Cars,Accuracy,0.7193287037037037,RF
Kmeans,25,Cars,Accuracy,0.7193287037037037,RF
GMM,30,Cars,Accuracy,0.7401620370370371,RF
Kmeans,30,Cars,Accuracy,0.7251157407407407,RF
GMM,35,Cars,Accuracy,0.7442129629629629,RF
Kmeans,35,Cars,Accuracy,0.7442129629629629,RF
GMM,40,Cars,Accuracy,0.7442129629629629,RF
Kmeans,40,Cars,Accuracy,0.7418981481481481,RF
GMM,2,Cars,Mutual_Information,0.1937081439130124,RF
Kmeans,2,Cars,Mutual_Information,0.1937081439130124,RF
GMM,5,Cars,Mutual_Information,0.05700903426203467,RF
Kmeans,5,Cars,Mutual_Information,0.0383278773980921,RF
GMM,10,Cars,Mutual_Information,0.05738107937832852,RF
Kmeans,10,Cars,Mutual_Information,0.058817902938683,RF
GMM,15,Cars,Mutual_Information,0.0871859405152842,RF
Kmeans,15,Cars,Mutual_Information,0.08650205960509079,RF
GMM,20,Cars,Mutual_Information,0.07099299420437839,RF
Kmeans,20,Cars,Mutual_Information,0.06172935602116055,RF
GMM,25,Cars,Mutual_Information,0.07218893183555464,RF
Kmeans,25,Cars,Mutual_Information,0.07218893183555464,RF
GMM,30,Cars,Mutual_Information,0.06987559254513788,RF
Kmeans,30,Cars,Mutual_Information,0.07124742818420761,RF
GMM,35,Cars,Mutual_Information,0.07413344231059532,RF
Kmeans,35,Cars,Mutual_Information,0.0743536959379207,RF
GMM,40,Cars,Mutual_Information,0.07696917754407258,RF
Kmeans,40,Cars,Mutual_Information,0.0790047477666277,RF
GMM,2,Madelon,Accuracy,0.5236263736263737,RF
Kmeans,2,Madelon,Accuracy,0.5714285714285714,RF
GMM,5,Madelon,Accuracy,0.5368131868131868,RF
Kmeans,5,Madelon,Accuracy,0.5906593406593407,RF
GMM,10,Madelon,Accuracy,0.6241758241758242,RF
Kmeans,10,Madelon,Accuracy,0.6807692307692308,RF
GMM,15,Madelon,Accuracy,0.6384615384615384,RF
Kmeans,15,Madelon,Accuracy,0.7109890109890109,RF
GMM,20,Madelon,Accuracy,0.6967032967032967,RF
Kmeans,20,Madelon,Accuracy,0.7197802197802198,RF
GMM,25,Madelon,Accuracy,0.7434065934065934,RF
Kmeans,25,Madelon,Accuracy,0.760989010989011,RF
GMM,30,Madelon,Accuracy,0.7027472527472527,RF
Kmeans,30,Madelon,Accuracy,0.7681318681318682,RF
GMM,35,Madelon,Accuracy,0.7362637362637363,RF
Kmeans,35,Madelon,Accuracy,0.782967032967033,RF
GMM,40,Madelon,Accuracy,0.7631868131868131,RF
Kmeans,40,Madelon,Accuracy,0.7615384615384615,RF
GMM,2,Madelon,Mutual_Information,0.0012160828148604509,RF
Kmeans,2,Madelon,Mutual_Information,0.01438678107259113,RF
GMM,5,Madelon,Mutual_Information,0.001587395457126974,RF
Kmeans,5,Madelon,Mutual_Information,0.02115129141557151,RF
GMM,10,Madelon,Mutual_Information,0.016746736787156026,RF
Kmeans,10,Madelon,Mutual_Information,0.03715016281298197,RF
GMM,15,Madelon,Mutual_Information,0.02793185167735011,RF
Kmeans,15,Madelon,Mutual_Information,0.048111631095679855,RF
GMM,20,Madelon,Mutual_Information,0.047056288534593885,RF
Kmeans,20,Madelon,Mutual_Information,0.044447161055066964,RF
GMM,25,Madelon,Mutual_Information,0.050150419226295095,RF
Kmeans,25,Madelon,Mutual_Information,0.053337287283444716,RF
GMM,30,Madelon,Mutual_Information,0.04071239055484525,RF
Kmeans,30,Madelon,Mutual_Information,0.05786065795705015,RF
GMM,35,Madelon,Mutual_Information,0.046931489045138185,RF
Kmeans,35,Madelon,Mutual_Information,0.06169516124725127,RF
GMM,40,Madelon,Mutual_Information,0.05429303284339757,RF
Kmeans,40,Madelon,Mutual_Information,0.054719808648525665,RF
